run_id,model,method,task,metric_dimension,aug,think,strict_f1,strict_acc,lenient_f1,lenient_acc,n_total_rows,n_scored_rows,n_unknown,unknown_rate,unknown_row_indices,prediction_file,timestamp
020,Mistral-7B,LoRA,MT,PG,None,N/A,0.300295,0.502024,0.467891,0.771255,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Mistral-7B/outputs/20260422_165517/run_020_mistral7b_lora_mt_predictions.csv,2026-04-22T20:30:16
020,Mistral-7B,LoRA,MT,Act,None,N/A,0.24033,0.495951,0.420983,0.6417,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Mistral-7B/outputs/20260422_165517/run_020_mistral7b_lora_mt_predictions.csv,2026-04-22T20:30:16
021,Qwen3-14B,ZeroShot,MI,MI,None,OFF,0.621703,0.737918,0.774725,0.884758,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Qwen3_14B/predictions/run_021_mi_predictions.csv,2026-04-30T15:31:31
022,Qwen3-14B,ZeroShot,ML,ML,None,OFF,0.460589,0.524291,0.681332,0.751012,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Qwen3_14B/predictions/run_022_ml_predictions.csv,2026-04-30T15:31:43
023,Qwen3-14B,ZeroShot,PG,PG,None,OFF,0.45014,0.491903,0.633168,0.781377,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Qwen3_14B/predictions/run_023_pg_predictions.csv,2026-04-30T15:37:58
024,Qwen3-14B,ZeroShot,Act,Act,None,OFF,0.379127,0.374494,0.620389,0.708502,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Qwen3_14B/predictions/run_024_act_predictions.csv,2026-04-30T15:38:09
025,Qwen3-14B,ZeroShot,MT,MI,None,OFF,0.478161,0.682186,0.699001,0.819838,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Qwen3_14B/predictions/run_025_mt_predictions.csv,2026-04-30T15:42:52
025,Qwen3-14B,ZeroShot,MT,ML,None,OFF,0.418221,0.47166,0.577692,0.591093,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Qwen3_14B/predictions/run_025_mt_predictions.csv,2026-04-30T15:42:52
025,Qwen3-14B,ZeroShot,MT,PG,None,OFF,0.405013,0.374494,0.71778,0.821862,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Qwen3_14B/predictions/run_025_mt_predictions.csv,2026-04-30T15:42:52
025,Qwen3-14B,ZeroShot,MT,Act,None,OFF,0.36826,0.522267,0.576559,0.603239,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Qwen3_14B/predictions/run_025_mt_predictions.csv,2026-04-30T15:42:52
026,Qwen3-14B,LoRA,MI,MI,None,OFF,0.717085,0.815985,0.88855,0.936803,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Qwen3_14B/run026.csv,2026-04-30T16:54:13
027,Qwen3-14B,LoRA,ML,ML,None,OFF,0.483845,0.674089,0.741646,0.791498,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Qwen3_14B/run027.csv,2026-04-30T16:54:20
028,Qwen3-14B,LoRA,PG,PG,None,OFF,0.517289,0.58502,0.739968,0.825911,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Qwen3_14B/run028.csv,2026-04-30T17:43:58
029,Qwen3-14B,LoRA,Act,Act,None,OFF,0.598016,0.710526,0.81512,0.838057,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Qwen3_14B/run029.csv,2026-04-30T17:44:12
030,Qwen3-14B,LoRA,MT,MI,None,OFF,0.602371,0.838057,0.808129,0.88664,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Qwen3_14B/run030.csv,2026-04-30T17:50:30
030,Qwen3-14B,LoRA,MT,ML,None,OFF,0.453918,0.680162,0.697331,0.738866,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Qwen3_14B/run030.csv,2026-04-30T17:50:30
030,Qwen3-14B,LoRA,MT,PG,None,OFF,0.496568,0.62753,0.730696,0.811741,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Qwen3_14B/run030.csv,2026-04-30T17:50:30
030,Qwen3-14B,LoRA,MT,Act,None,OFF,0.621012,0.738866,0.83717,0.854251,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Qwen3_14B/run030.csv,2026-04-30T17:50:30
